"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"2";"100K";"0402-RES";"R15, R27";"C25741";"R0402-100K"
"6";"100n";"0402_CAP";"C1, C5, C6, C9, C10, C60";"C307331";"C0402-100NF-50V-X7R"
"1";"10R";"0402-RES";"R1";"C25077";"R0402-10R"
"3";"10u";"0603_CAP";"C55, C2, C3";"C96446";"C0603-10U-25V-X5R"
"2";"1K";"0402-RES";"R9, R21";"C11702";"R0402-1K"
"3";"220R";"0402-RES";"R8, R14, R19";"C25091";"R0402-220R"
"2";"22K";"0402-RES";"R11, R23";"C25768";"R0402-22K"
"2";"33K";"0402-RES";"R7, R24";"C25779";"R0402-33K"
"3";"5K1";"0402-RES";"R5, R17, R29";"C25905";"R0402-5K1"
"1";"741G32";"SOT23-5";"U1";"C7470";""
"2";"ARGBSK6812-MINI-E";"SK6812MINI-E";"LED1, LED2";"C5149201";" SK6812MINI-E"
"2";"COMP_SINGLE_5PIN";"SOT23-5";"U2, U3";"C5310980";""
"1";"DISP_LCD_GENERIC_SPI_1.47IN_172_320_NO_HOLES";"TFT_1.47IN_172X320_12P_NO_HOLES";"DISP1";"C9900235549";""
"1";"FFC2B28-14-G";"GCT_FFC2B28-14-G";"J1";"";""
"2";"LEDIR12-21C/TR8";"IR26-61C/L302/TR8";"D2, D4";"C181893";""
"1";"N-channel";"SOT23";"Q1";"C8545";"NFET-LOW-SIG-SWITCH-SOT-23-3"
"2";"N_PHOTO";"PT12-21B-TR8";"Q2, Q4";"C264383";""
"2";"SCREW-FASTENER3";"M3-PANHEAD-VIA";"MP1, MP2";"";""
