Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.03, 1.59,Bottom,180.0
C2, 5.71, 0.32,Bottom,180.0
C3, 5.71, 2.86,Bottom,180.0
C5,36.51, 7.30,Bottom,0.0
C6,-27.30, 7.30,Bottom,0.0
C9,-25.40,-4.76,Bottom,270.0
C10,26.67,-2.22,Bottom,90.0
C55,-26.67, 8.89,Bottom,0.0
C60,21.27, 7.30,Bottom,0.0
D2,-30.50, 2.00,Bottom,0.0
D4,30.50, 2.00,Bottom,0.0
J1,15.00, 0.00,Bottom,180.0
LED1,32.00, 8.00,Bottom,0.0
LED2,-32.00, 8.00,Bottom,0.0
Q1, 6.03, 6.67,Bottom,0.0
Q2,-30.50,-10.00,Bottom,180.0
Q4,30.50,-10.00,Bottom,180.0
R1, 5.71, 4.13,Bottom,180.0
R5, 9.21, 7.62,Bottom,180.0
R7,-20.96,-2.54,Bottom,270.0
R8,-33.66, 3.81,Bottom,0.0
R9,-25.40,-2.54,Bottom,270.0
R11,-20.00,-2.54,Bottom,90.0
R14,14.29, 8.26,Bottom,0.0
R15,-20.00,-4.76,Bottom,270.0
R17,-20.96,-4.76,Bottom,90.0
R19,30.48, 3.81,Bottom,0.0
R21,26.67,-4.45,Bottom,90.0
R23,21.27,-4.45,Bottom,270.0
R24,22.23,-4.45,Bottom,90.0
R27,21.27,-2.22,Bottom,90.0
R29,22.23,-2.22,Bottom,270.0
U1,17.78, 8.26,Bottom,0.0
U2,-23.18,-3.49,Bottom,270.0
U3,24.45,-3.49,Bottom,90.0
