"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"5";"";"MEMBRANE";"S1, S2, S3, S4, S6";"";""
"7";"100n";"0402_CAP";"C1, C2, C3, C4, C11, C16, C60";"C307331";"C0402-100NF-50V-X7R"
"1";"10R";"0402-RES";"R9";"C25077";"R0402-10R"
"3";"10u";"0603_CAP";"C7, C8, C55";"C19702";"C0603-10UF-10V-X7R"
"11";"1K";"0402-RES";"R1, R2, R3, R4, R6, R7, R8, R10, R11, R12, R13";"C11702";"R0402-1K"
"2";"1X3VERT";"1X3_VERTICAL";"J4, J5";"";""
"2";"1X4";"1X4_PADS";"J2, J3";"";""
"5";"1u";"0402_CAP";"C5, C6, C17, C18, C19";"C52923 ";"C0402-1U-25V-X5R"
"1";"220R";"0402-RES";"R14";"C25091";"R0402-220R"
"1";"30_PINVERT";"F0503A-ZV-30-20T-R";"J1";"";""
"1";"5K1";"0402-RES";"R5";"C25905";"R0402-5K1"
"1";"741G32";"SOT23-5";"U1";"C7470";""
"5";"ARGBWS2812-2020";"LED2020RGB";"LED1, LED2, LED5, LED6, LED7";"";"WS2812B-2020"
"1";"DISP_LCD_GENERIC_SPI_1.47IN_172_320_NO_HOLES";"TFT_1.47IN_172X320_12P_NO_HOLES";"DISP1";"C9900235549";""
"4";"N-channel";"SOT23";"Q1, Q2, Q3, Q4";"C8545";"NFET-LOW-SIG-SWITCH-SOT-23-3"
"7";"SCREW-FASTENER2";"M2-PANHEAD-VIA";"MP1, MP2, MP3, MP4, MP5, MP6, MP7";"";""
