Designator,Mid X,Mid Y,Layer,Rotation
C1,12.07,47.63,Bottom,0.0
C2,38.10, 9.53,Bottom,0.0
C3,38.10,-9.53,Bottom,0.0
C4,-15.88,51.44,Bottom,180.0
C5, 9.53,47.63,Bottom,0.0
C6,35.56,47.63,Bottom,0.0
C7,-16.19,50.16,Bottom,180.0
C8,-16.19,52.71,Bottom,180.0
C11,38.10,46.36,Bottom,0.0
C16,38.10,-28.58,Bottom,0.0
C17,35.56, 9.53,Bottom,0.0
C18,35.88,-8.26,Bottom,0.0
C19,35.56,-28.58,Bottom,0.0
C55,35.24,46.36,Bottom,0.0
C60,38.42,-33.02,Bottom,270.0
J1,30.50,-21.00,Bottom,270.0
Q1,-20.96,53.34,Bottom,270.0
Q2,13.02,41.59,Bottom,180.0
Q3,13.02,45.09,Bottom,180.0
Q4,26.67,46.04,Bottom,0.0
R1,12.07,48.90,Bottom,180.0
R2,38.10,10.79,Bottom,180.0
R3,38.10,-8.26,Bottom,180.0
R4,19.69,43.18,Bottom,270.0
R5,-20.96,50.80,Bottom,0.0
R6, 9.53,40.64,Bottom,180.0
R7,22.23,43.18,Bottom,270.0
R8, 9.53,44.13,Bottom,180.0
R9,-15.88,53.98,Bottom,180.0
R10,24.77,43.18,Bottom,270.0
R11,30.16,46.99,Bottom,0.0
R12,38.10,47.63,Bottom,180.0
R13,38.10,-27.30,Bottom,180.0
R14,33.97,-33.02,Bottom,270.0
U1,36.20,-33.66,Bottom,90.0
